,0
0,AEP SELECTED TO RECEIVE FEDERAL GRANT TO ENHANCE GRID RELIABILITY
1,Utility stocks take a beating amid rising rates
2,AEP APPOINTS CHARLES E. ZEBULA CHIEF FINANCIAL OFFICER
3,"AEP BOARD ELECTS SLOAT CHAIR, NAMES STODDARD BOARD MEMBER"
4,AEP COMPLETES SALE OF UNREGULATED RENEWABLES ASSETS
5,New Tax-Credit Market Aims to Funnel Billions to Clean Energy
6,AEP RECOGNIZED AS ONE OF THE BEST COMPANIES TO WORK FOR
7,"AMERICAN ELECTRIC POWER COMPANY, INC. TO REDEEM SENIOR NOTES"
8,AEP REPORTS SECOND-QUARTER 2023 EARNINGS; REAFFIRMS 2023 GUIDANCE
9,AEP RECOGNIZED AS ONE OF AMERICA'S BEST EMPLOYERS FOR WOMEN
