,0
0,ConocoPhillips (COP) Increases Yet Falls Behind Market: What Investors Need to Know
1,Energy Stocks Gain as Oil Prices Rise
2,We Think ConocoPhillips (NYSE:COP) Can Stay On Top Of Its Debt
3,Here's Why Hold Strategy is Apt for ConocoPhillips (COP) Now
4,5 Stock Picks From Top Money Managers
5,Exxon’s Historic Shale Deal Signals New Wave of Oil Mergers
6,Will ExxonMobil Set Off a Merger Wave in the Oil Patch?
7,What's Driving ConocoPhillips's Surprising 18% Stock Rally?
8,"ConocoPhillips (NYSE:COP) sheds 3.7% this week, as yearly returns fall more in line with earnings growth"
9,The Oil Patch Is Primed for an Era of Megadeals
