,0
0,Investors in Evergy (NASDAQ:EVRG) have seen returns of 4.6% over the past five years
1,Evergy reaches unanimous settlement with parties to Kansas rate case
2,"Is Evergy, Inc.'s (NASDAQ:EVRG) ROE Of 8.1% Impressive?"
3,"With 84% ownership, Evergy, Inc. (NASDAQ:EVRG) boasts of strong institutional backing"
4,"Evergy Announces Second Quarter 2023 Results, Declares Quarterly Dividend and Reaffirms 2023 Guidance"
5,Evergy schedules conference call to discuss 2nd quarter results
6,Scout Clean Energy Closes on Persimmon Creek Wind Farm Sale to Evergy
7,"Evergy Announces First Quarter 2023 Results, Declares Quarterly Dividend and Reaffirms 2023 Guidance"
8,"Evergy Files Kansas First Rate Review in Five Years to Recover Investments to Modernize the Power Grid, Increase Reliability and Enhance Customer Service"
9,Evergy schedules conference call to discuss 1st quarter results
