,0
0,HII to Provide Readiness and Training Software Development Support for the U.S. Navy
1,HII Partnerships Celebrate Workforce Development Milestones
2,HII Expands Presence with New Advance Technology Facility in Downtown Syracuse
3,General Dynamics' (GD) Unit Secures $217M Submarine Contract
4,HII is Awarded $244 Million Contract to Integrate Minotaur Software Products into Maritime Platforms
5,HII Delivers National Security Cutter Calhoun (WMSL 759)  to U.S. Coast Guard
6,Huntington Ingalls (HII) Wins $347M Deal to Aid Lionfish Program
7,HII is Awarded $347 Million U.S. Navy Lionfish Small UUV Contract
8,General Dynamics (GD) Wins Deal to Aid Virginia Class Submarine
9,Huntington Ingalls (HII) Surges 9.3%: Is This an Indication of Further Gains?
