,body
0,Got my trades set! Going big slv! Let’s put J.P. Morgan out of business
1,J is back? What a fucking moron
2,"J.Cramer flat-out admits in his now-famous Dec2006 clip with TheStreet that they use media outlets like CNBC to dump their lies onto, which is a vital skill among HF players."
3,"Don't know who Patrick J Toomey is but he bought GME right at the top 😆🦍

Edit: he sold a day later at a loss 🤦‍♂️"
4,"J-pow ""Guys we were counting on you all to not fuck this up! You have all completely screwed over our entire nation with your reckless behavior!""

CEO's hang heads in shame

J-pow ""Which is why now we are forced to give you trillions of dollars and buy up your mistakes and eat them!""

CEO's all nut in unison."
5,"Yeah because of the last jump in price they actually paid off most of their outstanding debt so I don’t see them going bankrupt anytime soon. Also there are talks of various big players trying to acquire amc in the near future, they have a meeting coming up at May 4th which might force ALL the shorts to cover as well. 

Any way, I’m just reading what gets posted here and other subs and try to make my own choices. I got burned by SDNL ( of well I could’ve gotten out at 200+ but left with 80 something) and J learned my lesson not to FOMO."
6,J'aime cette action.
7,"Lies told by liars

J.k. mod me beautiful. I'll kiss you where it counts."
8,"Serious question; is 4 weeks vacation considered good in the States?

Edit: Thanks for all the replies. The reason I'm shocked is the legal minimum here in the UK is 5.6 paid weeks and we're not great by European standards... The French barely ever work... J/K Frenchies :)"
9,"Fellow retards, after reading J U S T I N  S U N ‘ s tweet that he will be putting in 10 million more dollars tonight, it’s clear our battle is just beginning. This steady 300-350 price range is the most stable the price we’ve seen in this stonk in a long time.  We are engaged in a staring contest with a blind person (HF’s). They need us to blink. 

What will likely cause the first blink is the exercising of call options later today.  This will inevitably trigger profit taking by paper handed fucks, lurkers, haters, and those who don’t understand what they’re a part of in the context of history and social impact. 

Hold. Hold. Hold. Set limits that allow you the financial freedom that these champagne sipping, concrete jungle apes want to take from you. 

I am a retarded ape. I don’t know how to count money, nor give financial advice. I eat the lice out of my wife’s boyfriends hair in exchange for chicken McNuggets.

Edit: 🚀🚀🚀🚀🚀"
10,"Quick somebody call J Pow 

We’ll have national cross-out day where everybody stacks their benjies and sharpies out the two zeros 

Ta-da, inflation has transitted away"
11,Your J.P. Prewitt.....
