,0
0,XEL or MGEE: Which Is the Better Value Stock Right Now?
1,"Xcel Energy, Heartland Hydrogen Hub selected for up to $925 million federal award"
2,Reasons to Add Xcel Energy (XEL) to Your Portfolio Right Now
3,Thread Announces $15M in Series A Funding to Digitally Transform the World's Aging Infrastructure
4,Institutional owners may take dramatic actions as Xcel Energy Inc.'s (NASDAQ:XEL) recent 7.5% drop adds to one-year losses
5,Xcel Energy Third Quarter 2023 Earnings Conference Call
6,Xcel Energy Announces Leadership Changes
7,Top 20 Renewable Energy Companies in USA by Revenue
8,Xcel Energy names Chris Church new chief nuclear officer
9,Xcel Energy (XEL) Gets Nod for Expanding Solar Energy Project
